ID_Tempo;Cod_Tempo;Data;Numero_Dia_Semana;Numero_Mes;Numero_Ano;Nome_Mes;Numero_Trimestre;Nome_Trimestre;Numero_Semestre;Nome_Semestre
160;20130609;08/06/2013;1;6;2013;Junho;2;Segundo Trimestre;1;Primeiro Semestre
161;20130610;09/06/2013;2;6;2013;Junho;2;Segundo Trimestre;1;Primeiro Semestre
162;20130611;10/06/2013;3;6;2013;Junho;2;Segundo Trimestre;1;Primeiro Semestre
163;20130612;11/06/2013;4;6;2013;Junho;2;Segundo Trimestre;1;Primeiro Semestre
164;20130613;12/06/2013;5;6;2013;Junho;2;Segundo Trimestre;1;Primeiro Semestre
165;20130614;13/06/2013;6;6;2013;Junho;2;Segundo Trimestre;1;Primeiro Semestre
166;20130615;14/06/2013;7;6;2013;Junho;2;Segundo Trimestre;1;Primeiro Semestre
167;20130616;15/06/2013;1;6;2013;Junho;2;Segundo Trimestre;1;Primeiro Semestre
168;20130617;16/06/2013;2;6;2013;Junho;2;Segundo Trimestre;1;Primeiro Semestre
169;20130618;17/06/2013;3;6;2013;Junho;2;Segundo Trimestre;1;Primeiro Semestre
170;20130619;18/06/2013;4;6;2013;Junho;2;Segundo Trimestre;1;Primeiro Semestre
171;20130620;19/06/2013;5;6;2013;Junho;2;Segundo Trimestre;1;Primeiro Semestre
172;20130621;20/06/2013;6;6;2013;Junho;2;Segundo Trimestre;1;Primeiro Semestre
173;20130622;21/06/2013;7;6;2013;Junho;2;Segundo Trimestre;1;Primeiro Semestre
174;20130623;22/06/2013;1;6;2013;Junho;2;Segundo Trimestre;1;Primeiro Semestre
175;20130624;23/06/2013;2;6;2013;Junho;2;Segundo Trimestre;1;Primeiro Semestre
176;20130625;24/06/2013;3;6;2013;Junho;2;Segundo Trimestre;1;Primeiro Semestre
177;20130626;25/06/2013;4;6;2013;Junho;2;Segundo Trimestre;1;Primeiro Semestre
178;20130627;26/06/2013;5;6;2013;Junho;2;Segundo Trimestre;1;Primeiro Semestre
179;20130628;27/06/2013;6;6;2013;Junho;2;Segundo Trimestre;1;Primeiro Semestre
180;20130629;28/06/2013;7;6;2013;Junho;2;Segundo Trimestre;1;Primeiro Semestre
181;20130630;29/06/2013;1;6;2013;Junho;2;Segundo Trimestre;1;Primeiro Semestre
182;20130701;30/06/2013;2;7;2013;Julho;3;Terceiro Trimestre;2;Segundo Semestre
183;20130702;01/07/2013;3;7;2013;Julho;3;Terceiro Trimestre;2;Segundo Semestre
184;20130703;02/07/2013;4;7;2013;Julho;3;Terceiro Trimestre;2;Segundo Semestre
185;20130704;03/07/2013;5;7;2013;Julho;3;Terceiro Trimestre;2;Segundo Semestre
186;20130705;04/07/2013;6;7;2013;Julho;3;Terceiro Trimestre;2;Segundo Semestre
187;20130706;05/07/2013;7;7;2013;Julho;3;Terceiro Trimestre;2;Segundo Semestre
188;20130707;06/07/2013;1;7;2013;Julho;3;Terceiro Trimestre;2;Segundo Semestre
189;20130708;07/07/2013;2;7;2013;Julho;3;Terceiro Trimestre;2;Segundo Semestre
190;20130709;08/07/2013;3;7;2013;Julho;3;Terceiro Trimestre;2;Segundo Semestre
191;20130710;09/07/2013;4;7;2013;Julho;3;Terceiro Trimestre;2;Segundo Semestre
192;20130711;10/07/2013;5;7;2013;Julho;3;Terceiro Trimestre;2;Segundo Semestre
193;20130712;11/07/2013;6;7;2013;Julho;3;Terceiro Trimestre;2;Segundo Semestre
194;20130713;12/07/2013;7;7;2013;Julho;3;Terceiro Trimestre;2;Segundo Semestre
195;20130714;13/07/2013;1;7;2013;Julho;3;Terceiro Trimestre;2;Segundo Semestre
196;20130715;14/07/2013;2;7;2013;Julho;3;Terceiro Trimestre;2;Segundo Semestre
197;20130716;15/07/2013;3;7;2013;Julho;3;Terceiro Trimestre;2;Segundo Semestre
198;20130717;16/07/2013;4;7;2013;Julho;3;Terceiro Trimestre;2;Segundo Semestre
199;20130718;17/07/2013;5;7;2013;Julho;3;Terceiro Trimestre;2;Segundo Semestre
200;20130719;18/07/2013;6;7;2013;Julho;3;Terceiro Trimestre;2;Segundo Semestre
201;20130720;19/07/2013;7;7;2013;Julho;3;Terceiro Trimestre;2;Segundo Semestre
202;20130721;20/07/2013;1;7;2013;Julho;3;Terceiro Trimestre;2;Segundo Semestre
203;20130722;21/07/2013;2;7;2013;Julho;3;Terceiro Trimestre;2;Segundo Semestre
204;20130723;22/07/2013;3;7;2013;Julho;3;Terceiro Trimestre;2;Segundo Semestre
205;20130724;23/07/2013;4;7;2013;Julho;3;Terceiro Trimestre;2;Segundo Semestre
206;20130725;24/07/2013;5;7;2013;Julho;3;Terceiro Trimestre;2;Segundo Semestre
207;20130726;25/07/2013;6;7;2013;Julho;3;Terceiro Trimestre;2;Segundo Semestre
208;20130727;26/07/2013;7;7;2013;Julho;3;Terceiro Trimestre;2;Segundo Semestre
209;20130728;27/07/2013;1;7;2013;Julho;3;Terceiro Trimestre;2;Segundo Semestre
210;20130729;28/07/2013;2;7;2013;Julho;3;Terceiro Trimestre;2;Segundo Semestre
211;20130730;29/07/2013;3;7;2013;Julho;3;Terceiro Trimestre;2;Segundo Semestre
212;20130731;30/07/2013;4;7;2013;Julho;3;Terceiro Trimestre;2;Segundo Semestre
213;20130801;31/07/2013;5;8;2013;Agosto;3;Terceiro Trimestre;2;Segundo Semestre
214;20130802;01/08/2013;6;8;2013;Agosto;3;Terceiro Trimestre;2;Segundo Semestre
215;20130803;02/08/2013;7;8;2013;Agosto;3;Terceiro Trimestre;2;Segundo Semestre
216;20130804;03/08/2013;1;8;2013;Agosto;3;Terceiro Trimestre;2;Segundo Semestre
217;20130805;04/08/2013;2;8;2013;Agosto;3;Terceiro Trimestre;2;Segundo Semestre
218;20130806;05/08/2013;3;8;2013;Agosto;3;Terceiro Trimestre;2;Segundo Semestre
219;20130807;06/08/2013;4;8;2013;Agosto;3;Terceiro Trimestre;2;Segundo Semestre
220;20130808;07/08/2013;5;8;2013;Agosto;3;Terceiro Trimestre;2;Segundo Semestre
221;20130809;08/08/2013;6;8;2013;Agosto;3;Terceiro Trimestre;2;Segundo Semestre
222;20130810;09/08/2013;7;8;2013;Agosto;3;Terceiro Trimestre;2;Segundo Semestre
223;20130811;10/08/2013;1;8;2013;Agosto;3;Terceiro Trimestre;2;Segundo Semestre
224;20130812;11/08/2013;2;8;2013;Agosto;3;Terceiro Trimestre;2;Segundo Semestre
225;20130813;12/08/2013;3;8;2013;Agosto;3;Terceiro Trimestre;2;Segundo Semestre
226;20130814;13/08/2013;4;8;2013;Agosto;3;Terceiro Trimestre;2;Segundo Semestre
227;20130815;14/08/2013;5;8;2013;Agosto;3;Terceiro Trimestre;2;Segundo Semestre
228;20130816;15/08/2013;6;8;2013;Agosto;3;Terceiro Trimestre;2;Segundo Semestre
229;20130817;16/08/2013;7;8;2013;Agosto;3;Terceiro Trimestre;2;Segundo Semestre
230;20130818;17/08/2013;1;8;2013;Agosto;3;Terceiro Trimestre;2;Segundo Semestre
231;20130819;18/08/2013;2;8;2013;Agosto;3;Terceiro Trimestre;2;Segundo Semestre
232;20130820;19/08/2013;3;8;2013;Agosto;3;Terceiro Trimestre;2;Segundo Semestre
233;20130821;20/08/2013;4;8;2013;Agosto;3;Terceiro Trimestre;2;Segundo Semestre
234;20130822;21/08/2013;5;8;2013;Agosto;3;Terceiro Trimestre;2;Segundo Semestre
235;20130823;22/08/2013;6;8;2013;Agosto;3;Terceiro Trimestre;2;Segundo Semestre
236;20130824;23/08/2013;7;8;2013;Agosto;3;Terceiro Trimestre;2;Segundo Semestre
237;20130825;24/08/2013;1;8;2013;Agosto;3;Terceiro Trimestre;2;Segundo Semestre
238;20130826;25/08/2013;2;8;2013;Agosto;3;Terceiro Trimestre;2;Segundo Semestre
239;20130827;26/08/2013;3;8;2013;Agosto;3;Terceiro Trimestre;2;Segundo Semestre
240;20130828;27/08/2013;4;8;2013;Agosto;3;Terceiro Trimestre;2;Segundo Semestre
241;20130829;28/08/2013;5;8;2013;Agosto;3;Terceiro Trimestre;2;Segundo Semestre
242;20130830;29/08/2013;6;8;2013;Agosto;3;Terceiro Trimestre;2;Segundo Semestre
243;20130831;30/08/2013;7;8;2013;Agosto;3;Terceiro Trimestre;2;Segundo Semestre
244;20130901;31/08/2013;1;9;2013;Setembro;3;Terceiro Trimestre;2;Segundo Semestre
245;20130902;01/09/2013;2;9;2013;Setembro;3;Terceiro Trimestre;2;Segundo Semestre
246;20130903;02/09/2013;3;9;2013;Setembro;3;Terceiro Trimestre;2;Segundo Semestre
247;20130904;03/09/2013;4;9;2013;Setembro;3;Terceiro Trimestre;2;Segundo Semestre
248;20130905;04/09/2013;5;9;2013;Setembro;3;Terceiro Trimestre;2;Segundo Semestre
249;20130906;05/09/2013;6;9;2013;Setembro;3;Terceiro Trimestre;2;Segundo Semestre
250;20130907;06/09/2013;7;9;2013;Setembro;3;Terceiro Trimestre;2;Segundo Semestre
251;20130908;07/09/2013;1;9;2013;Setembro;3;Terceiro Trimestre;2;Segundo Semestre
252;20130909;08/09/2013;2;9;2013;Setembro;3;Terceiro Trimestre;2;Segundo Semestre
253;20130910;09/09/2013;3;9;2013;Setembro;3;Terceiro Trimestre;2;Segundo Semestre
254;20130911;10/09/2013;4;9;2013;Setembro;3;Terceiro Trimestre;2;Segundo Semestre
255;20130912;11/09/2013;5;9;2013;Setembro;3;Terceiro Trimestre;2;Segundo Semestre
256;20130913;12/09/2013;6;9;2013;Setembro;3;Terceiro Trimestre;2;Segundo Semestre
257;20130914;13/09/2013;7;9;2013;Setembro;3;Terceiro Trimestre;2;Segundo Semestre
258;20130915;14/09/2013;1;9;2013;Setembro;3;Terceiro Trimestre;2;Segundo Semestre
259;20130916;15/09/2013;2;9;2013;Setembro;3;Terceiro Trimestre;2;Segundo Semestre
260;20130917;16/09/2013;3;9;2013;Setembro;3;Terceiro Trimestre;2;Segundo Semestre
261;20130918;17/09/2013;4;9;2013;Setembro;3;Terceiro Trimestre;2;Segundo Semestre
262;20130919;18/09/2013;5;9;2013;Setembro;3;Terceiro Trimestre;2;Segundo Semestre
263;20130920;19/09/2013;6;9;2013;Setembro;3;Terceiro Trimestre;2;Segundo Semestre
264;20130921;20/09/2013;7;9;2013;Setembro;3;Terceiro Trimestre;2;Segundo Semestre
265;20130922;21/09/2013;1;9;2013;Setembro;3;Terceiro Trimestre;2;Segundo Semestre
266;20130923;22/09/2013;2;9;2013;Setembro;3;Terceiro Trimestre;2;Segundo Semestre
267;20130924;23/09/2013;3;9;2013;Setembro;3;Terceiro Trimestre;2;Segundo Semestre
268;20130925;24/09/2013;4;9;2013;Setembro;3;Terceiro Trimestre;2;Segundo Semestre
269;20130926;25/09/2013;5;9;2013;Setembro;3;Terceiro Trimestre;2;Segundo Semestre
270;20130927;26/09/2013;6;9;2013;Setembro;3;Terceiro Trimestre;2;Segundo Semestre
271;20130928;27/09/2013;7;9;2013;Setembro;3;Terceiro Trimestre;2;Segundo Semestre
272;20130929;28/09/2013;1;9;2013;Setembro;3;Terceiro Trimestre;2;Segundo Semestre
273;20130930;29/09/2013;2;9;2013;Setembro;3;Terceiro Trimestre;2;Segundo Semestre
274;20131001;30/09/2013;3;10;2013;Outubro;4;Quarto Trimestre;2;Segundo Semestre
275;20131002;01/10/2013;4;10;2013;Outubro;4;Quarto Trimestre;2;Segundo Semestre
276;20131003;02/10/2013;5;10;2013;Outubro;4;Quarto Trimestre;2;Segundo Semestre
277;20131004;03/10/2013;6;10;2013;Outubro;4;Quarto Trimestre;2;Segundo Semestre
278;20131005;04/10/2013;7;10;2013;Outubro;4;Quarto Trimestre;2;Segundo Semestre
